date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:34	66252/66252	---M-Z	200	added ('OK')	text/html	etag:%22c0a2d-102cc-4f7c31663892c%22	http://love.grid.com.tw/	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/index.html	(from )
14:40:36	240/240	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Jan%202015%2006:38:04%20GMT	http://love.grid.com.tw/robots.txt		(from )
14:40:37	119897/119897	---M-Z	200	added ('OK')	text/css	etag:%22c0a40-1d459-4f7c31664a26c%22	http://love.grid.com.tw/css/bootstrap/bootstrap.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/css/bootstrap/bootstrap.css	(from http://love.grid.com.tw/)
14:40:37	16697/16697	---M-Z	200	added ('OK')	text/css	etag:%22c0a3f-4139-4f7c31664a26c%22	http://love.grid.com.tw/css/bootstrap/bootstrap-theme.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/css/bootstrap/bootstrap-theme.css	(from http://love.grid.com.tw/)
14:40:39	95309/95309	---M-Z	200	added ('OK')	text/css	etag:%22c0a3a-1744d-4f7c31664832c%22	http://love.grid.com.tw/css/icons.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/css/icons.css	(from http://love.grid.com.tw/)
14:40:39	13893/13893	---M-Z	200	added ('OK')	text/css	etag:%22c072c-3645-4f7c316580fac%22	http://love.grid.com.tw/js/plugins/misc/fullcalendar/fullcalendar.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/js/plugins/misc/fullcalendar/fullcalendar.css	(from http://love.grid.com.tw/)
14:40:39	9430/9430	---M-Z	200	added ('OK')	text/css	etag:%22c0816-24d6-4f7c3165b4bcc%22	http://love.grid.com.tw/js/plugins/forms/uniform/uniform.default.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/js/plugins/forms/uniform/uniform.default.css	(from http://love.grid.com.tw/)
14:40:39	10511/10511	---M-Z	200	added ('OK')	text/css	etag:%22c0776-290f-4f7c31658fa0c%22	http://love.grid.com.tw/js/plugins/ui/jgrowl/jquery.jgrowl.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/js/plugins/ui/jgrowl/jquery.jgrowl.css	(from http://love.grid.com.tw/)
14:40:40	161/161	---M-Z	200	added ('OK')	text/css	etag:%22c0a42-a1-4f7c31664b20c%22	http://love.grid.com.tw/css/custom.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/css/custom.css	(from http://love.grid.com.tw/)
14:40:40	151710/151710	---M-Z	200	added ('OK')	text/css	etag:%22c0a3b-2509e-4f7c3166492cc%22	http://love.grid.com.tw/css/app.css	C:/Users/Sakurayo/Desktop/Lovemuseum/Love/love.grid.com.tw/css/app.css	(from http://love.grid.com.tw/)
